W	Is that because Indians who move to America were already rich to begin with?	No, they moved there from India, not because of their status there.																	
W	Is there a story?	Yea I will pm you																				
W	Is your tinfoil aircraft grade?	Yep, mine is as well.																								
W	Is it possible hes on drugs?	I don't think so lol.																											
W	Are you sure?	It's not in the wild.																									
W	Is that what youre trying to say?	Yeah, they're trying to say, There are no aliens on Mars.																				
W	Isnt it though?	Haha good point, I didn't consider things as a whole, I know most of the pros play the game but that does mean there's some that aren't so well rounded?	
W	Is she using them from a prescription or recreationally?	She was prescribed it as a medicine for her prescription. She had gotten it before with no problems.															
W	Does it affect your workout?	Did you guys eat Chipotle?																											
W	Do you need more examples?	You know, if you're a man, who lives by the sea, and has four legs? I would like to talk to you about something else.					
W	Do you have this?	It's on my twitter I have been keeping an eye on that account every day									
W	Do you find other people interesting?	LOL... yes, I do																																	
W	Are you saying that marriage has been the same since before the Bible until now?	Marrying around the same time as all people have been, so yeah.																						
W	Isnt that a Bengali dish?	Yes and its not nearly as good as thai curry																							
W	Is it worth the read?	I'd go for it. But... why?																								
W	Did you just failpost?	It's a mobile thing, he does this every time.																					
W	is that bad?	No. The OP was asking for a good answer. His question made no sense.															
W	Are you saying that men are oppressed because women wont ask them out?	No, they are oppressed because women have to be treated the same by men in the industry for better pay than men. Women aren't marginalized by men though, they are, in fact, marginalized.	
W	Do they remove all of your lower intestine?	No, they dont do it for me either																																
W	Are you just going to sit there an fuel your own sense of victimization?	No. The article I replied to was the one that I did edit to include what they are doing.												
W	Do you realize your posting a lot of your replies twice?	Good catch, didn't realize. Thanks																													
W	Did you get Ones?	Nope. Not yet. Waiting for my card to go through.																							
W	Is GST referring to general sales tax?	no it refers to the gst surcharge																													
W	Did you eat it cold?	Haha no, it was so soft and it fit right in the corner of the oven and that happened to be perfectly filled with chicken.						
W	Doesnt it strike you as just the slightest bit sad that women would have to do that?	I think it breaks my basic ethics and is pretty disrespectful.																								
W	Is it weird that I pictured you as Hugh Jackman?	A bit, but I'm still not interested. XD																								
W	Was there a lump sum payout option and if so why didnt you take that?	Because it wasn't lump sum?																										
W	Is accusation without proof equal to abuse/harrassment?	The accused was seen with the defendant on multiple occasions and in court for jury duty.																				
W	Is not liking the way some politicians seem to stick to their parties above all else irrational?	I'll take it as a compliment then																														
W	Are those the new ones or the old ones?	I got it at a B amp M in London																										
W	Does a Frosty count as a slush since its ice cream?	It makes me wet and creamy in my pants.																											
W	Are you both technically still virgins?	Is technically a correct or is just a good word?																											
W	Shouldnt one expect it to be the other way around?	I bet you're more excited about that one than you are about the rest of the world's hopes and dreams.																
W	Arent we all though?	we all have thoughts and opinions, but we're all on the same page and there's not much difference between them, so it's just a matter of what you think.	
W	Do your parents and grandparents have the same kind of vacations for instance?	They have their own vacations, and the family takes their vacations																											
W	Was this at your house?	yes. we are in the building. i havent been out there yet																											
W	Are you afraid theyll be too busy cussing to remember to hump back?	I think it's quite nice that they actually have a designated stop.																						
W	is your wife running to her parents with the details of your marital fights?	If you find out, I'll buy you gold.																										
W	Is PIV integral part of him feeling sexual satisfaction with a partner?	It is. It was meant to be a joke.																												
W	Does the US use military drones in the US?	It's a secret.																																	
W	Does she get any time for just herself or to invest in her hobbies?	The mother just said yes... so it would be a great environment.																					
W	Do you seriously have nothing better to talk about than being condescending towards a stranger for enjoying a small moving picture?	I love you so much for pointing that out so I am now going to use it everywhere. I love your comments so I hope you feel a lot better. : 3					
W	Is Office Fairy a new gender?	I think so. I hope so too.																																	
W	Was it a call center?	It was an entry level call center, just as a customer service office. Nothing else.													
W	Are you serious?	No I am not. However, I will let him know that.																						
W	Does it feel any differently than friendzoning a woman youre not attracted to?	i never really got it either, just a random dude i've had no contact with.																				
W	Does she just feel you need more savings?	That's what I understood from reading this too.																						
W	Should we assume this exist by default?	Yes, yes we should.																													
W	Are you trolling?	No I am not.																														
W	Is there any way you can put a lock on the iPad, either on certain sites to block adult content or have a passcode that has to be asked for?	I would suggest trying at least to look at your profile on the site to figure out your passcode.																		
W	Does he have money problems that hes stressing about?	He was offered 20m to come to Arsenal at 18, which turned him down.																				
W	Are you serious?	LOL he was a kid so you know it's crazy																									
W	Did you get to see the translucent palmetto geckos?	I love you. lt 3 lt 3																								
W	Is that so much to ask?	So much as ask																																
W	Is your wife from the country?	No. She's from Canada. But that's the only explanation																						
W	Isnt he insightful?	He is the Michael Sam of MMA																								
W	Do you log and track everything?	Yes I have every game for the past 10 years.																					
W	Are you sure?	Yup. That's all the evidence I need.																							
W	Are you a fruit or a vegetable?	I was going to ask that, too																																
W	Are you a model?	She has a few...																																
W	Does a casual relationship (as by your definition) need to not involve sex, or it can?	In the context of the discussion I'm responding to, yes it does.																			
W	Is it a reference to anything?	not directly, no. just a coincidence																																
W	Is Michonne any good?	Better than Bloodborne																													
W	Arent you contradicting yourself?	It wasn't a question, it was a statement.																										
W	Isnt it though??	I still don't know what they're doing																													
W	Do large animals creep you out if you were swimming, or is it just rocks?	It's like a small animal with very thin skin, and very good defense.																						
W	Did you see it yet?	Yes i did, he's playing today too																												
W	Do you like *anyone*?																																	
W	Does she have children?	Not yet. She's got two, though. Just got one. We're about to move in together.																
W	Do you know how flipping uncomfortable that is?	He did in fact... a few hours ago. Not fun																																
W	Do you really want to work things out with your husband or are you staying out of guilt or obligation?	He is the one keeping me in a state of denial. I'd gladly quit without them.																							
